,STNAME,CTYNAME,POP2020,POP2015,POP2010,POPGROWTH,WORK2020,WORK2015,WORK2010,WORKGROWTH,TYPE,DISTRESSED
733,Indiana,Jay County,20416,21135.0,21179.0,-3.6026252419849802,12317.0,13099.0,13302.0,-7.404901518568641,R,A
734,Indiana,Jefferson County,32110,32305.0,32399.0,-0.8920028395938195,20754.0,21544.0,21819.0,-4.881066959989,R,B
735,Indiana,Jennings County,27515,27847.0,28482.0,-3.3951267467172253,17587.0,18248.0,18814.0,-6.521739130434778,R,A
736,Indiana,Johnson County,160607,149021.0,140269.0,14.49928351952321,103724.0,97398.0,92330.0,12.34051770822051,S,N
737,Indiana,Knox County,36522,37784.0,38394.0,-4.875761837787151,23182.0,24813.0,25633.0,-9.56189287246908,R,A
738,Indiana,Kosciusko County,78988,78562.0,77338.0,2.1334919444516265,49598.0,50523.0,50450.0,-1.6888007928642201,R,B
739,Indiana,LaGrange County,40119,38620.0,37159.0,7.965768723593203,23658.0,22966.0,22077.0,7.16129908955021,R,N
740,Indiana,Lake County,487536,488195.0,495972.0,-1.700902470300747,309919.0,317246.0,325517.0,-4.791762027789637,U,B
741,Indiana,LaPorte County,109663,110884.0,111458.0,-1.6104721060848037,69504.0,72945.0,74763.0,-7.03422816098872,S,A
742,Indiana,Lawrence County,45496,45571.0,46105.0,-1.3208979503307683,28151.0,28808.0,29657.0,-5.078059142866776,R,A
743,Indiana,Madison County,129681,129436.0,131621.0,-1.4739289323132287,82470.0,83697.0,86484.0,-4.6413209379769675,S,B
744,Indiana,Marion County,966183,940152.0,904604.0,6.807288050904048,639087.0,632664.0,617990.0,3.413809284939884,U,N
745,Indiana,Marshall County,46108,46746.0,47000.0,-1.8978723404255327,28114.0,29334.0,29729.0,-5.432406068148943,R,A
746,Indiana,Martin County,10079,10222.0,10361.0,-2.7217450053083625,6160.0,6470.0,6708.0,-8.169350029815147,R,A
747,Indiana,Miami County,35328,36023.0,36810.0,-4.026079869600652,22821.0,23769.0,24838.0,-8.120621628150415,R,A
748,Indiana,Monroe County,148219,144432.0,138574.0,6.960180120368897,108288.0,108314.0,105487.0,2.6553034971133815,S,N
749,Indiana,Montgomery County,38365,38255.0,38096.0,0.706110877782451,23939.0,24436.0,24713.0,-3.1319548415813525,R,B
750,Indiana,Morgan County,70707,69576.0,69138.0,2.269374294888493,45407.0,45620.0,45968.0,-1.2204142011834285,R,B
751,Indiana,Newton County,13907,13978.0,14234.0,-2.2973162849515227,8697.0,9028.0,9207.0,-5.539263603779732,R,A
752,Indiana,Noble County,47832,47514.0,47455.0,0.7944368348962172,30070.0,30652.0,30910.0,-2.7175671303785176,R,B
753,Indiana,Ohio County,5892,5888.0,6085.0,-3.1717337715694294,3543.0,3768.0,3994.0,-11.291937906860294,R,A
754,Indiana,Orange County,19651,19628.0,19812.0,-0.812638804764787,11907.0,12305.0,12728.0,-6.4503456945317446,R,A
755,Indiana,Owen County,20833,20823.0,21566.0,-3.3988685894463466,13131.0,13405.0,14309.0,-8.23258089314417,R,A
756,Indiana,Parke County,16871,16974.0,17279.0,-2.36124775739337,10525.0,10888.0,11547.0,-8.85078375335585,R,A
757,Indiana,Perry County,19154,19323.0,19411.0,-1.3239915511823241,12115.0,12631.0,13047.0,-7.143404614087534,R,A
758,Indiana,Pike County,12378,12399.0,12716.0,-2.6580685750235977,7544.0,7808.0,8215.0,-8.167985392574561,R,A
759,Indiana,Porter County,170980,167439.0,164492.0,3.944264766675576,111040.0,111703.0,111370.0,-0.29630959863518047,S,B
760,Indiana,Posey County,25275,25621.0,25861.0,-2.2659603263601613,15616.0,16570.0,17211.0,-9.267329033757477,R,A
761,Indiana,Pulaski County,12388,12801.0,13320.0,-6.996996996996996,7617.0,8107.0,8499.0,-10.377691493116837,R,A
762,Indiana,Putnam County,37469,37397.0,37903.0,-1.1450280980397354,25064.0,25673.0,26368.0,-4.945388349514568,R,B
763,Indiana,Randolph County,24191,25139.0,26172.0,-7.5691578786489355,14727.0,15600.0,16489.0,-10.685911820001214,R,A
764,Indiana,Ripley County,28448,28375.0,28815.0,-1.2736422002429304,17601.0,18026.0,18328.0,-3.9666084679179425,R,B
765,Indiana,Rush County,16649,16709.0,17383.0,-4.2225162515101005,10453.0,10629.0,11147.0,-6.22589037409168,R,A
766,Indiana,St. Joseph County,271484,268567.0,266799.0,1.7560035832218324,173963.0,176130.0,177061.0,-1.749679488989675,S,B
767,Indiana,Scott County,23788,23670.0,24172.0,-1.588614926361076,15273.0,15559.0,16207.0,-5.762941938668476,R,A
768,Indiana,Shelby County,44871,44343.0,44295.0,1.3003725025397816,28540.0,28889.0,29311.0,-2.6304117907952618,R,B
769,Indiana,Spencer County,20225,20644.0,20916.0,-3.303690954293359,12550.0,13091.0,13731.0,-8.60097589396257,R,A
770,Indiana,Starke County,23049,22864.0,23348.0,-1.2806236080178168,14258.0,14653.0,15164.0,-5.974676866262197,R,A
771,Indiana,Steuben County,34831,34489.0,34110.0,2.113749633538542,21527.0,22311.0,22725.0,-5.2717271727172665,R,A
772,Indiana,Sullivan County,20578,20874.0,21387.0,-3.7826717164632706,13589.0,13966.0,14513.0,-6.366705712120169,R,A
773,Indiana,Switzerland County,10724,10616.0,10718.0,0.05598059339428918,6620.0,6635.0,6827.0,-3.032078511791414,R,B
774,Indiana,Tippecanoe County,196115,186858.0,173105.0,13.292510326102658,139097.0,134436.0,126687.0,9.795795938020468,S,N
775,Indiana,Tipton County,15227,15250.0,15878.0,-4.100012596044844,9358.0,9672.0,10182.0,-8.092712630131604,R,A
776,Indiana,Union County,7119,7201.0,7537.0,-5.545973198885501,4480.0,4662.0,4924.0,-9.017059301380993,R,A
777,Indiana,Vanderburgh County,182447,181600.0,179845.0,1.446801412327292,117221.0,119852.0,120440.0,-2.672700099634673,S,B
778,Indiana,Vermillion County,15329,15597.0,16117.0,-4.889247378544392,9435.0,9836.0,10341.0,-8.761241659413987,R,A
779,Indiana,Vigo County,106608,107615.0,107891.0,-1.1891631368696198,70524.0,73050.0,74400.0,-5.209677419354842,S,A
780,Indiana,Wabash County,30784,31883.0,32850.0,-6.289193302891938,18949.0,20157.0,20907.0,-9.365284354522407,R,A
781,Indiana,Warren County,8194,8272.0,8521.0,-3.8375777490904817,4989.0,5194.0,5497.0,-9.24140440240131,R,A
782,Indiana,Warrick County,63269,61563.0,59840.0,5.730280748663108,39857.0,39248.0,39085.0,1.9751822949980902,R,N
783,Indiana,Washington County,28213,27784.0,28297.0,-0.2968512563169212,17948.0,18032.0,18609.0,-3.5520447095491403,R,B
784,Indiana,Wayne County,65778,67044.0,68897.0,-4.527047621812274,40855.0,42587.0,44474.0,-8.137338669784588,R,A
785,Indiana,Wells County,28142,27854.0,27680.0,1.6690751445086693,17125.0,17407.0,17724.0,-3.379598284811558,R,B
